product_id;sku;model;product_name;price;quantity;status;date_available;date_modified;exported_at
1465746563;S3104;S3104;Солодка корінь, 100 г;65.0000;0;1;2026-06-25;2026-06-30 23:01:51;2026-07-01 10:47:59
1465746564;S3105;S3105;Калган корінь, 100 г;153.0000;0;1;2026-06-25;2026-06-30 23:01:50;2026-07-01 10:47:59
1465746565;S3106;S3106;Липовий цвіт, 50 г;158.0000;0;1;2026-06-25;2026-06-30 23:01:51;2026-07-01 10:47:59
1465746566;S3107;S3107;Зубрівка трава, 50 г;109.0000;0;1;2026-06-25;2026-06-30 23:01:50;2026-07-01 10:47:59
1465746567;S3108;S3108;Цедра грейпфрута, 50 г;130.0000;0;1;2026-06-25;2026-06-30 23:01:51;2026-07-01 10:47:59
1465746568;S3109;S3109;Цедра лимона, 50 г;73.0000;0;1;2026-06-25;2026-06-30 23:01:51;2026-07-01 10:47:59
1465746569;S3110;S3110;Цедра апельсина, 50 г;55.0000;0;1;2026-06-25;2026-06-30 23:01:51;2026-07-01 10:47:59
1465746570;S3111;S3111;Шкаралупа кедрового горіха, 100 г;93.0000;0;1;2026-06-25;2026-06-30 23:01:51;2026-07-01 10:47:59
1465746571;S3112;S3112;Кора хінного дерева, 25 г;105.0000;0;1;2026-06-25;2026-06-30 23:01:50;2026-07-01 10:47:59
1465746572;S3113;S3113;Перець кубеба, 25 г;205.0000;0;1;2026-06-25;2026-06-30 23:01:51;2026-07-01 10:47:59
1465746573;S3114;S3114;Перець мелегетський, 25 г;143.0000;0;1;2026-06-25;2026-06-30 23:01:51;2026-07-01 10:47:59
1465746574;S3115;S3115;Кориця, 50 г;43.0000;0;1;2026-06-25;2026-06-30 23:01:51;2026-07-01 10:47:59
1465746575;S3116;S3116;Кардамон, 25 г;174.0000;0;1;2026-06-25;2026-06-30 23:01:50;2026-07-01 10:47:59
1465746576;S3117;S3117;Вишня сушена, 100 г;88.0000;0;1;2026-06-25;2026-06-30 23:01:50;2026-07-01 10:47:59
1465746577;S3118;S3118;Яблуко сушене, 100 г;40.0000;0;1;2026-06-25;2026-06-30 23:01:51;2026-07-01 10:47:59
1465746578;S3119;S3119;Терен, ягоди, 100 г;70.0000;0;1;2026-06-25;2026-06-30 23:01:51;2026-07-01 10:47:59
1465746579;S3120;S3120;М’ята, 50 г;38.0000;0;1;2026-06-25;2026-06-30 23:01:51;2026-07-01 10:47:59
1465746580;S3121;S3121;Бадьян, 25 г;47.0000;0;1;2026-06-25;2026-06-30 23:01:50;2026-07-01 10:47:59
1465746581;S3122;S3122;Аніс, 100 г;65.0000;0;1;2026-06-25;2026-06-30 23:01:50;2026-07-01 10:47:59
1465746582;S3123;S3123;Фіалковий корінь ірису, 50 г;70.0000;0;1;2026-06-25;2026-06-30 23:01:51;2026-07-01 10:47:59
1465746583;S3124;S3124;Шипшина, 50 г;37.0000;0;1;2026-06-25;2026-06-30 23:01:51;2026-07-01 10:47:59
1465746584;S3125;S3125;Хрін корінь, 50 г;92.0000;0;1;2026-06-25;2026-06-30 23:01:51;2026-07-01 10:47:59
1465746585;S3126;S3126;Перець гіркий стручковий, 25 г;40.0000;0;1;2026-06-25;2026-06-30 23:01:51;2026-07-01 10:47:59
1465746586;S3127;S3127;Анчан, 5 г;42.0000;0;1;2026-06-25;2026-06-30 23:01:50;2026-07-01 10:47:59
1322;S4;S4;"Силіконова прокладка під КЛАМ 4&quot;";30.0000;0;1;0000-00-00;2026-06-30 23:01:27;2026-07-01 10:47:59
1669;S8801;S8801;Нейлоновий мішечок для настоянок 14х24;47.0000;0;1;0000-00-00;2026-06-30 23:01:32;2026-07-01 10:47:59
1670;S8802;S8802;Нейлоновий мішечок для настоянок 60х60;130.0000;0;1;0000-00-00;2026-06-30 23:01:32;2026-07-01 10:47:59
1671;S8803;S8803;Нейлоновий мішечок для настоянок 20х30;53.0000;0;1;0000-00-00;2026-06-30 23:01:32;2026-07-01 10:47:59
1672;S8806;S8806;Етикетка для пляшки Botanica Spirits 8 х 10 см;5.0000;0;1;0000-00-00;2026-06-30 23:01:32;2026-07-01 10:47:59
1465746499;SA1SU14;SA1SU14;Самогонний апарат з сухопарником, 14 л;6207.3000;10;1;2026-06-09;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746500;SA1SU21;SA1SU21;Самогонний апарат з сухопарником, 21 л;6844.7500;10;1;2026-06-09;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746413;SA1SU33;SA1SU33;Самогонний апарат з сухопарником 33л;8307.7500;999;1;2025-09-03;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746501;SA1SU40;SA1SU40;"Самогонний апарат з сухопарником 40 л 2&quot;";9823.0000;10;1;2026-06-10;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746502;SA2SU14;SA2SU14;Самогонний апарат з 2 сухопарниками, 14 л;6620.5500;10;1;2026-06-10;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746503;SA2SU21;SA2SU21;Самогонний апарат з 2 сухопарниками, 21 л;7258.0000;10;1;2026-06-10;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746439;SA2SU33;SA2SU33;Самогонний апарат з 2 сухопарниками 33л;8721.0000;10;1;2026-01-30;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746504;SA2SU40;SA2SU40;Самогонний апарат з 2 сухопарниками, 40 л;10236.2500;10;1;2026-06-10;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746505;SA2SU50;SA2SU50;Самогонний апарат з 2 сухопарниками, 50 л;10051.0000;10;1;2026-06-10;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746513;SABK3214;SABK3214;"Самогонний апарат з дефлегматором, монолітною бражною колоною 2&quot; — 32 мм, куб 14 л";6565.9300;10;1;2026-06-11;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746514;SABK3221;SABK3221;"Самогонний апарат з дефлегматором, монолітною бражною колоною 2&quot; — 32 мм, куб 21 л";7203.3800;10;1;2026-06-11;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746515;SABK4033;SABK4033;"Самогонний апарат з дефлегматором 33 л, бражна колона 2&quot; 40 мм ";9540.3800;10;1;2026-06-11;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746516;SABK4040;SABK4040;"Самогонний апарат з дефлегматором, монолітною бражною колоною 2&quot; — 40 мм, куб 40 л";11055.6300;10;1;2026-06-11;2026-07-01 00:00:07;2026-07-01 10:47:59
