product_id;sku;model;product_name;price;quantity;status;date_modified;exported_at
1093;1462676610;1462676610;Набір трав і спецій Самбука (3л.);59.0000;0;0;2026-05-04 23:00:26;2026-07-01 10:43:46
1095;1462676620;1462676620;Набір трав і спецій Перцівка (3л.);55.0000;0;0;2026-05-04 23:00:26;2026-07-01 10:43:46
1096;1462676625;1462676625;Набір трав і спецій для настойки Особлива на корі дуба (2л.);42.0000;0;0;2026-05-04 23:00:26;2026-07-01 10:43:46
1097;1462676630;1462676630;Набір трав і спецій Мисливська (2л.);59.0000;0;0;2026-05-04 23:00:26;2026-07-01 10:43:46
1098;1462676635;1462676635;Набір трав і спецій «Кримська ароматна» (2-3л.);42.0000;0;0;2026-05-04 23:00:26;2026-07-01 10:43:46
1099;1462676640;1462676640;Набір спецій Моно «Кориця» (50г.);32.0000;0;0;2026-05-04 23:00:26;2026-07-01 10:43:46
1100;1462676645;1462676645;Набір спецій моно «Калган» (50г.);75.0000;0;0;2026-05-04 23:00:26;2026-07-01 10:43:46
1101;1462676650;1462676650;Набір спецій Моно «Зубрівка» (50г.);75.0000;0;1;2026-05-04 23:00:26;2026-07-01 10:43:46
1102;1462677615;1462677615;Набір трав та спецій Коньяк домашній (1л.);40.0000;0;0;2026-05-04 23:00:26;2026-07-01 10:43:46
1465745340;1463679197;1463679197;"Металокерамічний дизайн-обігрівач UDEN-700 &quot;Полум'я&quot;";6429.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745221;1463681599;1463681599;"Металокерамічний дизайн-обігрівач UDEN-500D &quot;Кора&quot;";6104.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745265;1463681951;1463681951;"Металокерамічний дизайн-обігрівач UDEN-700 &quot;Айлант&quot;";7052.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1103;1465741886;1465741886;Набір спецій для настойки Морська;40.0000;0;0;2026-05-04 23:00:26;2026-07-01 10:43:46
1465745923;1465745923-011;1465745923-011;Царга нержавійка 70см  2 дюйма;1060.0000;5;1;2026-06-30 23:01:38;2026-07-01 10:43:46
1465746301;1465746301;1465746301;Утеплювач для царги 2 дюйми 50см;236.0000;6;1;2026-06-30 23:01:47;2026-07-01 10:43:46
1465746373;1465746373-gv;1465746373-gv;Дріжджі для бурбонів Distilamax GW 500гр;1850.0000;6;1;2026-06-30 23:01:47;2026-07-01 10:43:46
1465746401;1465746401;1465746401;Солод вівсяний Viking Oat Malt;113.2000;99;1;2026-06-30 23:01:53;2026-07-01 10:43:46
1465746403;1465746402;1465746402;Дріжджі Pinnacle MG+ для віскі та бурбонів, 25g;240.0000;21;1;2026-06-30 23:01:48;2026-07-01 10:43:46
1465746222;1465746404;1465746404;Есенція Strands OLD BALTIMORE 250 мл;830.0000;0;1;2026-06-30 23:01:48;2026-07-01 10:43:46
1465746406;1465746406;1465746406;Винні дріжджі Coobra RESTART (21 г);116.0000;0;1;2026-06-30 23:01:48;2026-07-01 10:43:46
1465746408;1465746408;1465746408;Вузол відбору по пару кламп 2 дюйми;1090.0000;0;1;2026-06-30 23:01:48;2026-07-01 10:43:46
1465746409;1465746409;1465746409;Барботер кламп 2 дюйми;774.0000;1;1;2026-06-30 23:01:48;2026-07-01 10:43:46
1465746411;1465746411;1465746411;Самогонний апарат 85 л з дефлегматором 2 дюйми;19500.0000;999;1;2026-06-30 23:01:03;2026-07-01 10:43:46
1465746421;1465746421;1465746421;Подарунковий сертифікат на 500 грн;500.0000;999;1;2025-09-25 13:20:52;2026-07-01 10:43:46
1465746422;1465746422;1465746422;Подарунковий сертифікат на 1000 грн;1000.0000;999;1;2025-09-25 13:24:28;2026-07-01 10:43:46
1465746423;1465746423;1465746423;Подарунковий сертифікат на 2000 грн;2000.0000;999;1;2025-09-25 13:32:18;2026-07-01 10:43:46
1465746424;1465746424;1465746424;Ємність для бродіння з гідрозатвором, краном та шкалою 33л;587.0000;2;1;2026-06-30 23:01:04;2026-07-01 10:43:46
1465746425;1465746425;1465746425;Заглушка для клампа DN12,7 діаметр 25,4мм;170.0000;0;1;2026-06-30 23:01:48;2026-07-01 10:43:46
1465746426;1465746426;1465746426;Пивні дріжджі Lallemand LalBrew Voss™ Kveik, 11грам;220.0000;0;1;2026-06-30 23:01:48;2026-07-01 10:43:46
1465746428;1465746428;1465746428;Мензурка 100мл;279.0000;1;1;2026-06-30 23:01:49;2026-07-01 10:43:46
1465746429;1465746429;1465746429;Мензурка 50мл;229.0000;1;1;2026-06-30 23:01:49;2026-07-01 10:43:46
1465746430;1465746430;1465746430;Мензурка 250мл;389.0000;1;1;2026-06-30 23:01:49;2026-07-01 10:43:46
1465746435;1465746435;1465746435;Бочка з-під бурбона 225 л;24000.0000;10;1;2026-06-30 23:01:04;2026-07-01 10:43:46
1465746454;1465746454;1465746454;"Вузол відбору по пару з ніпелем під термометр 2&quot;";1630.0000;1;1;2026-06-30 23:01:49;2026-07-01 10:43:46
1465746455;1465746455;1465746455;"Перехідник з клампа 1.5&quot; на 3&quot;";650.0000;1;1;2026-06-30 23:01:49;2026-07-01 10:43:46
1465746456;1465746456;1465746456;"Міні дефлегматор 1,5&quot; 120мм";1400.0000;1;1;2026-06-30 23:01:49;2026-07-01 10:43:46
1465746457;1465746457;1465746457;Солодовий екстракт ячмінний темний, 5кг;589.0000;5;1;2026-06-30 23:01:49;2026-07-01 10:43:46
1465746461;1465746461;1465746461;Конектор для шланга зелений, внутрішня різьба 1/2;39.0000;10;1;2026-06-30 23:01:49;2026-07-01 10:43:46
1465746462;1465746462;1465746462;Конектор для шланга помаранчевий, внутрішня різьба 1/2;39.0000;10;1;2026-06-30 23:01:49;2026-07-01 10:43:46
1465746473;1465746473;1465746473;Перегінний куб на 85 літрів, 2 дюйми, з фальшдном та теном— б/в;12200.0000;1;1;2026-06-30 23:01:05;2026-07-01 10:43:46
1465746474;1465746474;1465746474;Вживана пластикова ємність для бродіння Speidel 120 л з гідрозатвором та краном;5160.0000;2;1;2026-06-30 23:01:05;2026-07-01 10:43:46
