"Внешний ID","категорія","назва укр","назва рос","ціна"
"7-031","Перегінний куб","Испарительный куб 2016 - 36 л","Випарний куб 2016 - 36 л","1.0000"
"200","Перегінний куб","Випарний куб 2017 з мідною кришкою","Випарний куб 2017 з мідною кришкою","1.0000"
"7-007","Аксесуари для самогоноваріння","Колона ""Арома компакт"" 4 рівня мідь","Колона ""Арома компакт"" 4 рівня мідь","13200.0000"
"7-006","Аксесуари для самогоноваріння","Колона ""Арома компакт"" 4 рівня нерж.","Колона ""Арома компакт"" 4 рівня нерж.","9580.0000"
"7-051","Аксесуари для самогоноваріння","Ковпачкова тарілка для діоптру мідь","Ковпачкова тарілка для діоптру мідь","1490.0000"
"7-050","Аксесуари для самогоноваріння","Ковпачкова тарілка для діоптру нержавіюча сталь","Ковпачкова тарілка для діоптру нержавіюча сталь","975.0000"
"7-042","Аксесуари для пивоварні","Кошик для солоду під казан 21 л D32 см","Кошик для солоду під казан 21 л D32 см","5600.0000"
"7-043","Аксесуари для пивоварні","Кошик для солоду під казан 36 л D32 см","Кошик для солоду під казан 36 л D32 см","6055.0000"
"482-002","Котли тривалого горіння","","Котел длительного горения 17 кВт","12200.0000"
"482-003","Котли тривалого горіння","","Котел длительного горения 24 кВт","16400.0000"
"482-004","Котли тривалого горіння","","Котел длительного горения 30 кВт","18700.0000"
"482-005","Котли тривалого горіння","","Котел длительного горения 40 кВт","22300.0000"
"7-033","Перегінний куб","Перегонный куб «Доктор Губер» 21 л, без крышки","Перегінний куб «Доктор Губер» 21 л без кришки","1.0000"
"7-034","Перегінний куб","Перегонный куб «Доктор Губер» 36 л, без крышки","Перегінний куб «Доктор Губер» 36 л без кришки","1.0000"
"КСМ-16","Аксесуари для самогоноваріння","Кран нержавіючий 10мм вбудований","Кран нержавіючий 10мм вбудований","280.0000"
"21043","Комплектуючі","Кран зливний SPEIDEL (пластик) diam. 10","Кран зливний SPEIDEL (пластик) diam. 10","305.0000"
"7-041","Аксесуари для пивоварні","Кришка нержавіюча D32 см","Кришка нержавіюча D32 см","629.0000"
"78032","Аксесуари для пивоварні","Кришка нержавіюча для Braumeister 20 л","Кришка нержавіюча для Braumeister 20 л","6750.0000"
"78033","Аксесуари для пивоварні","Кришка нержавіюча для Braumeister 50 л","Кришка нержавіюча для Braumeister 50 л","9000.0000"
"200911","Вимірювальні прилади","Мірний циліндр 3-250-2 ГОСТ 1770-74","Мірний циліндр 3-250-2 ГОСТ 1770-74","190.0000"
"200538","Аксесуари для самогоноваріння","Міні-дефлегматор ""міджет""","Міні-дефлегматор ""міджет""","1200.0000"
"45200","ДОМАШНЯ ПИВОВАРНЯ","Міні пивоварня Braumeister 200 L","Міні пивоварня Braumeister 200 L","729000.0000"
"45201","ДОМАШНЯ ПИВОВАРНЯ","Міні пивоварня Braumeister 200 Л Комплект (Start set)","Міні пивоварня Braumeister 200 Л Комплект (Start set)","760000.0000"
"46501","ДОМАШНЯ ПИВОВАРНЯ","Міні пивоварня Braumeister 500 L Комплект (Start set)","Міні пивоварня Braumeister 500 L Комплект (Start set)","1200000.0000"
"46500","ДОМАШНЯ ПИВОВАРНЯ","Міні пивоварня Braumeister 500 L","Міні пивоварня Braumeister 500 L","1539000.0000"
"225","Дистилятори комерційні","Мініспиртзавод 100 л з трирівневою колоною «арома»","Мініспиртзавод 100 л з трирівневою колоною «арома»","783000.0000"
