url,арт,Назва,обєм,ціна
https://hmel-master.com/ua/p2202121203-peregonnyj-kub-mednoj.html,MAGNUMCOPPER40-2,"40л/2"" Перегінний куб з мідною кришкою",40,11500
https://hmel-master.com/ua/p3150200924-40l3-peregonnyj-kub.html,MAGNUMCOPPER40-3,"40л/3"" Перегінний куб з мідною кришкою",40,11900
https://hmel-master.com/ua/p3150200925-40l4-peregonnyj-kub.html,MAGNUMCOPPER40-4,"40л/4"" Перегінний куб з мідною кришкою",40,12000
https://hmel-master.com/ua/p3150200926-60l2-peregonnyj-kub.html,MAGNUMCOPPER60-2,"60л/2"" Перегінний куб з мідною кришкою",60,13950
https://hmel-master.com/ua/p3150200927-60l3-peregonnyj-kub.html,MAGNUMCOPPER60-3,"60л/3"" Перегінний куб з мідною кришкою",60,14350
https://hmel-master.com/ua/p3150200928-60l4-peregonnyj-kub.html,MAGNUMCOPPER60-4,"60л/4"" Перегінний куб з мідною кришкою",60,14450
