"Row","Url","FinalUrl","ExpectedSku","PageSku","HttpStatus"
"2","https://hmel-master.com/ua/p2863694873-midnij-perehidnik.html","https://hmel-master.com/ua/p2863694873-midnij-perehidnik.html","TORP-4-2-2","MID-42","200"
"72","https://hmel-master.com/ua/p2335906163-33l2-peregonnyj-kub.html","https://hmel-master.com/ua/p2335906163-33l2-peregonnyj-kub.html","Mag-S33-1","Mag-S33-2","200"
"119","https://hmel-master.com/ua/p1834547889-midna-krishka-dlya.html","https://hmel-master.com/ua/p1834547889-midna-krishka-dlya.html","MAG40-4","MAG40-2","200"
"210","https://hmel-master.com/ua/p1204242474-25l-firmennyj-peregonnyj.html","https://hmel-master.com/ua/p1204242474-25l-firmennyj-peregonnyj.html","MAG1110-8","32894603","200"
